PATCH_IDX,PATCH_CMD,BaseResRef,Sex,Race,InanimateType,Plot,LowGore
2525,REPLACE,dPlt1B2_,4,****,1,****,****
2526,REPLACE,dPlt1B3_,4,****,1,****,****
2527,REPLACE,dPlt2B1_,4,****,1,****,****
2528,REPLACE,dPlt2B2_,4,****,1,****,****
2529,REPLACE,dPlt2B3_,4,****,1,****,****
2530,REPLACE,dPprU1_,4,****,1,****,****
2531,REPLACE,dPprU2_,4,****,1,****,****
2532,REPLACE,dPprU3_,4,****,1,****,****
2533,REPLACE,dPprU4_,4,****,1,****,****
2534,REPLACE,dStlB1_,4,****,1,****,****
2535,REPLACE,dStlU1_,4,****,1,****,****
2536,REPLACE,dStlU2_,4,****,1,****,****
2537,REPLACE,dTbl2B1_,4,****,1,****,****
2538,REPLACE,dTbl2U1_,4,****,1,****,****
2539,REPLACE,dTblB1_,4,****,1,****,****
2540,REPLACE,dTblB2_,4,****,1,****,****
2541,REPLACE,dTblU1_,4,****,1,****,****
2542,REPLACE,dTblU2_,4,****,1,****,****
2543,REPLACE,dBrsB1_,4,****,1,****,****
2544,REPLACE,dBrsB2_,4,****,1,****,****
2545,REPLACE,dBrsB3_,4,****,1,****,****
2546,REPLACE,PLC_Mcb_,4,****,3,****,****
2547,REPLACE,PLC_Mcb2_,4,****,3,****,****
2548,REPLACE,PLC_Mcb3_,4,****,3,****,****
2549,REPLACE,PLC_MTBL_,4,****,3,****,****
2550,REPLACE,PLC_MIR1_,4,****,3,****,****
2551,REPLACE,PLC_MIR2_,4,****,3,****,****
2552,REPLACE,PLC_MIR3_,4,****,3,****,****
2553,REPLACE,PLC_vs1_,4,****,3,****,****
2554,REPLACE,PLC_vs2_,4,****,3,****,****
2555,REPLACE,PLC_vs3_,4,****,3,****,****
2556,REPLACE,PLC_vs4_,4,****,3,****,****
2557,REPLACE,PLC_MIR4_,4,****,3,****,****
2558,REPLACE,PLC_MIR5_,4,****,3,****,****
2559,REPLACE,PLC_Tut_,4,****,3,****,****
2560,REPLACE,PLC_Ealt_,4,****,3,****,****
2561,REPLACE,PLC_Tut2_,4,****,3,****,****
2562,REPLACE,PLC_Can_,4,****,3,****,****
2563,REPLACE,PLC_Sink_,4,****,3,****,****
2564,REPLACE,PLC_Tub_,4,****,3,****,****
2565,REPLACE,PLC_Pee_,4,****,3,****,****
2566,REPLACE,PLC_cch_,4,****,3,****,****
2567,REPLACE,PLC_sws_,4,****,3,****,****
2568,REPLACE,PLC_gas_,4,****,2,****,****
2569,REPLACE,boat_,4,10,****,0,****
2570,REPLACE,dcp100_,4,****,4,****,****
2571,REPLACE,dcp101_,4,****,4,****,****
2572,REPLACE,dcp102_,4,****,4,****,****
2573,REPLACE,dcp103_,4,****,4,****,****
2574,REPLACE,dcp104_,4,****,4,****,****
2575,REPLACE,stat_barde_,4,****,3,****,****
2576,REPLACE,stat_daveak_,4,****,3,****,****
2577,REPLACE,stat_dawn_,4,****,3,****,****
2578,REPLACE,stat_dawn2_,4,****,3,****,****
2579,REPLACE,stat_dawn3_,4,****,3,****,****
2580,REPLACE,stat_dwarf1_,4,****,3,****,****
2581,REPLACE,stat_dwarf2_,4,****,3,****,****
2582,REPLACE,stat_elf1_,4,****,3,****,****
2583,REPLACE,stat_elf2_,4,****,3,****,****
2584,REPLACE,stat_fsword_,4,****,3,****,****
2585,REPLACE,stat_geant1_,4,****,3,****,****
2586,REPLACE,stat_geant2_,4,****,3,****,****
2587,REPLACE,stat_gnome_,4,****,3,****,****
2588,REPLACE,stat_orc1_,4,****,3,****,****
2589,REPLACE,stat_winver_,4,****,3,****,****
2590,REPLACE,stat_wwolf_,4,****,3,****,****
2591,REPLACE,stat_skull1_,4,****,3,****,****
2592,REPLACE,stat_arib_,4,****,3,****,****
2593,REPLACE,stat_doom_,4,****,3,****,****
2594,REPLACE,stat_dwarf5_,4,****,3,****,****
2595,REPLACE,stat_gob_,4,****,3,****,****
2596,REPLACE,stat_orc_,4,****,3,****,****
2597,REPLACE,stat_sorc_,4,****,3,****,****
2598,REPLACE,stat_crane1_,4,****,3,****,****
2599,REPLACE,stat_drag1_,4,****,3,****,****
2600,REPLACE,stat_drag2_,4,****,3,****,****
2601,REPLACE,plc_bars_,4,****,3,****,****
2602,REPLACE,plc_cann_,4,****,3,****,****
2603,REPLACE,plc_nwnl_,4,****,3,****,****
2604,REPLACE,plc_zchair1_,4,****,3,****,****
2605,REPLACE,plc_zchair2_,4,****,3,****,****
2606,REPLACE,plc_zchair3_,4,****,3,****,****
2607,REPLACE,plc_zchair4_,4,****,3,****,****
2608,REPLACE,plc_chess_,4,****,3,****,****
2609,REPLACE,plc_clock_,4,****,3,****,****
2610,REPLACE,plc_coffin_,4,****,3,****,****
2611,REPLACE,plc_zchair5_,4,****,3,****,****
2612,REPLACE,plc_crst1_,4,****,3,****,****
2613,REPLACE,plc_crst2_,4,****,3,****,****
2614,REPLACE,plc_crst3_,4,****,3,****,****
2615,REPLACE,plc_crst4_,4,****,3,****,****
2616,REPLACE,plc_cushn_,4,****,3,****,****
2617,REPLACE,plc_doors01_,4,****,3,****,****
2618,REPLACE,plc_doors03_,4,****,3,****,****
2619,REPLACE,plc_doors04_,4,****,3,****,****
2620,REPLACE,plc_doors05_,4,****,3,****,****
2621,REPLACE,plc_doors06_,4,****,3,****,****
2622,REPLACE,plc_doors07_,4,****,3,****,****
2623,REPLACE,plc_doors08_,4,****,3,****,****
2624,REPLACE,plc_doors09_,4,****,3,****,****
2625,REPLACE,plc_doors10_,4,****,3,****,****
2626,REPLACE,plc_doors11_,4,****,3,****,****
2627,REPLACE,drummedium_,4,****,3,****,****
2628,REPLACE,forge_,4,****,3,****,****
2629,REPLACE,gntcrossbo_,4,****,3,****,****
2630,REPLACE,guillotin1_,4,****,3,****,****
2631,REPLACE,harp_,4,****,3,****,****
2632,REPLACE,hourglass1_,4,****,3,****,****
2633,REPLACE,ironmaid1_,4,****,3,****,****
2634,REPLACE,katnadnsu2_,4,****,3,****,****
2635,REPLACE,kimchijar1_,4,****,3,****,****
2636,REPLACE,logsit001_,4,****,3,****,****
2637,REPLACE,piano001_,4,****,3,****,****
2638,REPLACE,piano002_,4,****,3,****,****
2639,REPLACE,safe001_,4,****,3,****,****
2640,REPLACE,shipbell1_,4,****,3,****,****
2641,REPLACE,shipflag1_,4,****,3,****,****
2642,REPLACE,shipwheel1_,4,****,3,****,****
2643,REPLACE,siegemine_,4,****,3,****,****
2644,REPLACE,srcophgus2_,4,****,3,****,****
2645,REPLACE,stool001_,4,****,3,****,****
2646,REPLACE,swall001_,4,****,3,****,****
2647,REPLACE,swordrack1_,4,****,3,****,****
2648,REPLACE,swordrack2_,4,****,3,****,****
2649,REPLACE,tansu001_,4,****,3,****,****
2650,REPLACE,tansu002_,4,****,3,****,****
2651,REPLACE,throne001_,4,****,3,****,****
2652,REPLACE,throne002_,4,****,3,****,****
2653,REPLACE,weaponrck1_,4,****,3,****,****
2654,REPLACE,weaponrck2_,4,****,3,****,****
2655,REPLACE,AssassinV_,4,52,****,0,****
2656,REPLACE,R_fern_,4,****,4,****,****
2657,REPLACE,lath_scryf_,4,****,1,****,****
2658,REPLACE,lath_scryo_,4,****,1,****,****
2659,REPLACE,abp_arrow01_,4,****,0,****,****
2660,REPLACE,abp_axe01_,4,****,0,****,****
2661,REPLACE,abp_axe02_,4,****,0,****,****
2662,REPLACE,abp_axe03_,4,****,0,****,****
2663,REPLACE,abp_axe04_,4,****,0,****,****
2664,REPLACE,abp_axe05_,4,****,0,****,****
2665,REPLACE,abp_bolt01_,4,****,0,****,****
2666,REPLACE,abp_xbow01_,4,****,0,****,****
2667,REPLACE,abp_xbow02_,4,****,0,****,****
2668,REPLACE,abp_dgger01_,4,****,0,****,****
2669,REPLACE,abp_dgger02_,4,****,0,****,****
2670,REPLACE,abp_flail01_,4,****,0,****,****
2671,REPLACE,abp_flail02_,4,****,0,****,****
2672,REPLACE,abp_flail03_,4,****,0,****,****
2673,REPLACE,abp_flail04_,4,****,0,****,****
2674,REPLACE,abp_flail05_,4,****,0,****,****
2675,REPLACE,abp_flail06_,4,****,0,****,****
2676,REPLACE,abp_flail07_,4,****,0,****,****
2677,REPLACE,abp_gaxe01_,4,****,0,****,****
2678,REPLACE,abp_gaxe02_,4,****,0,****,****
2679,REPLACE,abp_gaxe03_,4,****,0,****,****
2680,REPLACE,abp_gaxe04_,4,****,0,****,****
2681,REPLACE,abp_hlbrd01_,4,****,0,****,****
2682,REPLACE,abp_hlbrd02_,4,****,0,****,****
2683,REPLACE,abp_hmmer01_,4,****,0,****,****
2684,REPLACE,abp_hmmer02_,4,****,0,****,****
2685,REPLACE,abp_hmmer03_,4,****,0,****,****
2686,REPLACE,abp_hmmer04_,4,****,0,****,****
2687,REPLACE,abp_helm01_,4,****,0,****,****
2688,REPLACE,abp_helm02_,4,****,0,****,****
2689,REPLACE,abp_helm03_,4,****,0,****,****
2690,REPLACE,abp_helm04_,4,****,0,****,****
2691,REPLACE,abp_lbow01_,4,****,0,****,****
2692,REPLACE,abp_lswrd01_,4,****,0,****,****
2693,REPLACE,abp_lswrd02_,4,****,0,****,****
2694,REPLACE,abp_mace01_,4,****,0,****,****
2695,REPLACE,abp_mace02_,4,****,0,****,****
2696,REPLACE,abp_mace03_,4,****,0,****,****
2697,REPLACE,abp_mace04_,4,****,0,****,****
2698,REPLACE,abp_mace05_,4,****,0,****,****
2699,REPLACE,abp_rpier01_,4,****,0,****,****
2700,REPLACE,abp_sbow01_,4,****,0,****,****
2701,REPLACE,abp_sswrd01_,4,****,0,****,****
2702,REPLACE,abp_sswrd02_,4,****,0,****,****
2703,REPLACE,abp_spear01_,4,****,0,****,****
2704,REPLACE,abp_rack01_,4,****,0,****,****
2705,REPLACE,abp_rack02_,4,****,0,****,****
2706,REPLACE,abp_rack03_,4,****,0,****,****
2707,REPLACE,abp_rack04_,4,****,0,****,****
2708,REPLACE,abp_rack05_,4,****,0,****,****
2709,REPLACE,abp_rack06_,4,****,0,****,****
2710,REPLACE,abp_rack07_,4,****,0,****,****
2711,REPLACE,abp_rack08_,4,****,0,****,****
2712,REPLACE,bdFlwrCrt_,4,****,****,****,****
2713,REPLACE,pfs01_,4,****,****,****,****
2714,REPLACE,pfs02_,4,****,****,****,****
2715,REPLACE,pfs03_,4,****,****,****,****
2716,REPLACE,pfs04_,4,****,****,****,****
2717,REPLACE,pfs05_,4,****,****,****,****
2718,REPLACE,pfs06_,4,****,****,****,****
2719,REPLACE,pfs07_,4,****,****,****,****
2720,REPLACE,pfs08_,4,****,****,****,****
2721,REPLACE,pcs01_,4,****,****,****,****
2722,REPLACE,pcs02_,4,****,****,****,****
2723,REPLACE,pcs03_,4,****,****,****,****
2724,REPLACE,boarded20_,4,****,6,****,****
2725,REPLACE,boarded21_,4,****,6,****,****
2726,REPLACE,boarded22_,4,****,6,****,****
2727,REPLACE,boarded23_,4,****,6,****,****
2728,REPLACE,boarded24_,4,****,6,****,****
2729,REPLACE,boarded25_,4,****,6,****,****
2730,REPLACE,boarded26_,4,****,6,****,****
2731,REPLACE,boarded27_,4,****,6,****,****
2732,REPLACE,boarded28_,4,****,6,****,****
2733,REPLACE,boarded29_,4,****,6,****,****
2734,REPLACE,boarded30_,4,****,6,****,****
2735,REPLACE,boarded31_,4,****,6,****,****
2736,REPLACE,boarded32_,4,****,6,****,****
2737,REPLACE,boarded33_,4,****,6,****,****
2738,REPLACE,boarded34_,4,****,6,****,****
2739,REPLACE,crps_bbc01_,4,****,0,****,****
2740,REPLACE,crps_bbc02_,4,****,0,****,****
2741,REPLACE,crps_bbc03_,4,****,0,****,****
2742,REPLACE,crps_bb01_,4,****,0,****,****
2743,REPLACE,crps_bb02_,4,****,0,****,****
2744,REPLACE,crps_bb03_,4,****,0,****,****
2745,REPLACE,crps_bbs01_,4,****,0,****,****
2746,REPLACE,crps_bbs02_,4,****,0,****,****
2747,REPLACE,crps_bbs03_,4,****,0,****,****
2748,REPLACE,crps_gnl01_,4,****,0,****,****
2749,REPLACE,crps_gnl02_,4,****,0,****,****
2750,REPLACE,crps_gnl03_,4,****,0,****,****
2751,REPLACE,crps_gnls01_,4,****,0,****,****
2752,REPLACE,crps_gnls02_,4,****,0,****,****
2753,REPLACE,crps_gnls03_,4,****,0,****,****
2754,REPLACE,crps_gobc01_,4,****,0,****,****
2755,REPLACE,crps_gobc02_,4,****,0,****,****
2756,REPLACE,crps_gobc03_,4,****,0,****,****
2757,REPLACE,crps_gobt01_,4,****,0,****,****
2758,REPLACE,crps_gobt02_,4,****,0,****,****
2759,REPLACE,crps_gobt03_,4,****,0,****,****
2760,REPLACE,crps_gobw01_,4,****,0,****,****
2761,REPLACE,crps_gobw02_,4,****,0,****,****
2762,REPLACE,crps_gobw03_,4,****,0,****,****
2763,REPLACE,crps_hllg01_,4,****,0,****,****
2764,REPLACE,crps_hobg01_,4,****,0,****,****
2765,REPLACE,crps_hobg02_,4,****,0,****,****
2766,REPLACE,crps_hobg03_,4,****,0,****,****
2767,REPLACE,crps_hobw01_,4,****,0,****,****
2768,REPLACE,crps_hobw02_,4,****,0,****,****
2769,REPLACE,crps_hobw03_,4,****,0,****,****
2770,REPLACE,crps_ogrc01_,4,****,0,****,****
2771,REPLACE,crps_ogrc02_,4,****,0,****,****
2772,REPLACE,crps_ogrc03_,4,****,0,****,****
2773,REPLACE,crps_ogrt01_,4,****,0,****,****
2774,REPLACE,crps_ogrt02_,4,****,0,****,****
2775,REPLACE,crps_ogrt03_,4,****,0,****,****
2776,REPLACE,crps_ogrw01_,4,****,0,****,****
2777,REPLACE,crps_ogrw02_,4,****,0,****,****
2778,REPLACE,crps_ogrw03_,4,****,0,****,****
2779,REPLACE,crps_orcc01_,4,****,0,****,****
2780,REPLACE,crps_orcc02_,4,****,0,****,****
2781,REPLACE,crps_orcc03_,4,****,0,****,****
2782,REPLACE,crps_orct01_,4,****,0,****,****
2783,REPLACE,crps_orct02_,4,****,0,****,****
2784,REPLACE,crps_orct03_,4,****,0,****,****
2785,REPLACE,crps_orcw01_,4,****,0,****,****
2786,REPLACE,crps_orcw02_,4,****,0,****,****
2787,REPLACE,crps_orcw03_,4,****,0,****,****
2788,REPLACE,crps_hf01_,4,****,0,****,****
2789,REPLACE,crps_hf02_,4,****,0,****,****
2790,REPLACE,crps_hf03_,4,****,0,****,****
2791,REPLACE,crps_hf04_,4,****,0,****,****
2792,REPLACE,crps_hf05_,4,****,0,****,****
2793,REPLACE,crps_hf06_,4,****,0,****,****
2794,REPLACE,crps_hf07_,4,****,0,****,****
2795,REPLACE,crps_hf08_,4,****,0,****,****
2796,REPLACE,crps_hf09_,4,****,0,****,****
2797,REPLACE,crps_hf10_,4,****,0,****,****
2798,REPLACE,crps_hm01_,4,****,0,****,****
2799,REPLACE,crps_hm02_,4,****,0,****,****
2800,REPLACE,crps_hm03_,4,****,0,****,****
2801,REPLACE,crps_hm04_,4,****,0,****,****
2802,REPLACE,crps_hm05_,4,****,0,****,****
2803,REPLACE,crps_hm06_,4,****,0,****,****
2804,REPLACE,crps_hm07_,4,****,0,****,****
2805,REPLACE,crps_hm08_,4,****,0,****,****
2806,REPLACE,crps_hm09_,4,****,0,****,****
2807,REPLACE,crps_hm10_,4,****,0,****,****
2808,REPLACE,crps_hm11_,4,****,0,****,****
2809,REPLACE,crps_hm12_,4,****,0,****,****
2810,REPLACE,crps_hm13_,4,****,0,****,****
2811,REPLACE,crps_hm14_,4,****,0,****,****
2812,REPLACE,crps_hm15_,4,****,0,****,****
2813,REPLACE,crps_hm16_,4,****,0,****,****
2814,REPLACE,crps_hm17_,4,****,0,****,****
2815,REPLACE,crps_hm18_,4,****,0,****,****
2816,REPLACE,crps_hs01_,4,****,0,****,****
2817,REPLACE,crps_hs02_,4,****,0,****,****
2818,REPLACE,crps_ht01_,4,****,0,****,****
2819,REPLACE,crps_ht02_,4,****,0,****,****
2820,REPLACE,crps_ht03_,4,****,0,****,****
2821,REPLACE,crps_ht04_,4,****,0,****,****
2822,REPLACE,crps_ht05_,4,****,0,****,****
2823,REPLACE,crps_ht06_,4,****,0,****,****
2824,REPLACE,crps_of01_,4,****,0,****,****
2825,REPLACE,crps_of02_,4,****,0,****,****
2826,REPLACE,crps_of03_,4,****,0,****,****
2827,REPLACE,crps_of04_,4,****,0,****,****
2828,REPLACE,crps_of05_,4,****,0,****,****
2829,REPLACE,crps_of06_,4,****,0,****,****
2830,REPLACE,crps_of07_,4,****,0,****,****
2831,REPLACE,crps_om01_,4,****,0,****,****
2832,REPLACE,crps_om02_,4,****,0,****,****
2833,REPLACE,crps_om03_,4,****,0,****,****
2834,REPLACE,crps_om04_,4,****,0,****,****
2835,REPLACE,crps_om05_,4,****,0,****,****
2836,REPLACE,crps_om06_,4,****,0,****,****
2837,REPLACE,crps_om07_,4,****,0,****,****
2838,REPLACE,crps_om08_,4,****,0,****,****
2839,REPLACE,crps_om09_,4,****,0,****,****
2840,REPLACE,crps_om10_,4,****,0,****,****
2841,REPLACE,crps_om11_,4,****,0,****,****
2842,REPLACE,crps_om12_,4,****,0,****,****
2843,REPLACE,crps_om13_,4,****,0,****,****
2844,REPLACE,crps_pl01_,4,****,0,****,****
2845,REPLACE,crps_pl02_,4,****,0,****,****
2846,REPLACE,brkbelfry_,4,****,0,****,****
2847,REPLACE,hfence01_,4,****,5,****,****
2848,REPLACE,hfence02_,4,****,5,****,****
2849,REPLACE,hfence03_,4,****,5,****,****
2850,REPLACE,hfence04_,4,****,5,****,****
2851,REPLACE,hfence05_,4,****,5,****,****
2852,REPLACE,hfence06_,4,****,5,****,****
2853,REPLACE,hfence07_,4,****,5,****,****
2854,REPLACE,hfence08_,4,****,5,****,****
2855,REPLACE,hfence09_,4,****,5,****,****
2856,REPLACE,hfence10_,4,****,5,****,****
2857,REPLACE,hfence11_,4,****,5,****,****
2858,REPLACE,hfence12_,4,****,5,****,****
2859,REPLACE,hchimn01_,4,****,3,****,****
2860,REPLACE,hchimn02_,4,****,3,****,****
2861,REPLACE,hchimn03_,4,****,3,****,****
2862,REPLACE,hchimn04_,4,****,3,****,****
2863,REPLACE,hchimn05_,4,****,3,****,****
2864,REPLACE,hvstall01_,4,****,3,****,****
2865,REPLACE,hvstall02_,4,****,3,****,****
2866,REPLACE,flbed01_,4,****,5,****,****
2867,REPLACE,flbed02_,4,****,5,****,****
2868,REPLACE,flbed03_,4,****,5,****,****
2869,REPLACE,flbed04_,4,****,5,****,****
2870,REPLACE,flbed05_,4,****,5,****,****
2871,REPLACE,gicar01_,4,****,7,****,****
2872,REPLACE,gicar02_,4,****,7,****,****
2873,REPLACE,gicar03_,4,****,7,****,****
2874,REPLACE,gicar04_,4,****,7,****,****
2875,REPLACE,gicar05_,4,****,7,****,****
2876,REPLACE,gicar06_,4,****,7,****,****
2877,REPLACE,gicar07_,4,****,7,****,****
2878,REPLACE,gicar08_,4,****,7,****,****
2879,REPLACE,gicar09_,4,****,7,****,****
2880,REPLACE,gicar10_,4,****,7,****,****
2881,REPLACE,gicar11_,4,****,7,****,****
2882,REPLACE,gicar12_,4,****,7,****,****
2883,REPLACE,gibed01_,4,****,4,****,****
2884,REPLACE,gibed02_,4,****,4,****,****
2885,REPLACE,gibed03_,4,****,4,****,****
2886,REPLACE,gibed04_,4,****,4,****,****
2887,REPLACE,gibed05_,4,****,4,****,****
2888,REPLACE,gibed06_,4,****,4,****,****
2889,REPLACE,gibed07_,4,****,4,****,****
2890,REPLACE,gibed08_,4,****,4,****,****
2891,REPLACE,gibed09_,4,****,4,****,****
2892,REPLACE,gibed10_,4,****,4,****,****
2893,REPLACE,champot01_,4,****,3,****,****
2894,REPLACE,gifplc01_,4,****,5,****,****
2895,REPLACE,gifpot01_,4,****,5,****,****
2896,REPLACE,gifpot02_,4,****,5,****,****
2897,REPLACE,gifpot03_,4,****,5,****,****
2898,REPLACE,gifpot04_,4,****,5,****,****
2899,REPLACE,gifpot05_,4,****,5,****,****
2900,REPLACE,gifpot06_,4,****,5,****,****
2901,REPLACE,giclk01_,4,****,4,****,****
2902,REPLACE,gibear01_,4,****,4,****,****
2903,REPLACE,gishlf01_,4,****,1,****,****
2904,REPLACE,gichair01_,4,****,4,****,****
2905,REPLACE,gichair02_,4,****,4,****,****
2906,REPLACE,gichair03_,4,****,4,****,****
2907,REPLACE,gichair04_,4,****,4,****,****
2908,REPLACE,gichair05_,4,****,4,****,****
2909,REPLACE,gicouch01_,4,****,4,****,****
2910,REPLACE,gicouch02_,4,****,4,****,****
2911,REPLACE,gicouch03_,4,****,4,****,****
2912,REPLACE,gitable01_,4,****,4,****,****
2913,REPLACE,gitable02_,4,****,4,****,****
2914,REPLACE,gitable03_,4,****,4,****,****
2915,REPLACE,gishlf02_,4,****,1,****,****
2916,REPLACE,gilight01_,4,****,1,****,****
2917,REPLACE,gilight02_,4,****,1,****,****
2918,REPLACE,gilight03_,4,****,1,****,****
2919,REPLACE,gilight04_,4,****,1,****,****
2920,REPLACE,givase01_,4,****,1,****,****
2921,REPLACE,curtain01_,4,****,4,****,****
2922,REPLACE,curtain02_,4,****,4,****,****
2923,REPLACE,curtain03_,4,****,4,****,****
2924,REPLACE,curtain04_,4,****,4,****,****
2925,REPLACE,curtain05_,4,****,4,****,****
2926,REPLACE,curtain06_,4,****,4,****,****
2927,REPLACE,curtain07_,4,****,4,****,****
2928,REPLACE,curtain08_,4,****,4,****,****
2929,REPLACE,curtain09_,4,****,4,****,****
2930,REPLACE,curtain10_,4,****,4,****,****
2931,REPLACE,curtaino01_,4,****,4,****,****
2932,REPLACE,curtaino02_,4,****,4,****,****
2933,REPLACE,curtaino03_,4,****,4,****,****
2934,REPLACE,curtaino04_,4,****,4,****,****
2935,REPLACE,curtaino05_,4,****,4,****,****
2936,REPLACE,curtaino06_,4,****,4,****,****
2937,REPLACE,curtaino07_,4,****,4,****,****
2938,REPLACE,curtaino08_,4,****,4,****,****
2939,REPLACE,curtaino09_,4,****,4,****,****
2940,REPLACE,curtaino10_,4,****,4,****,****
2941,REPLACE,giwindow01_,4,****,4,****,****
2942,REPLACE,giwindow02_,4,****,4,****,****
2943,REPLACE,giwindow03_,4,****,4,****,****
2944,REPLACE,giwindow04_,4,****,4,****,****
2945,REPLACE,gipict01_,4,****,4,****,****
2946,REPLACE,gipict02_,4,****,4,****,****
2947,REPLACE,gipict03_,4,****,4,****,****
2948,REPLACE,gipict04_,4,****,4,****,****
2949,REPLACE,gipict05_,4,****,4,****,****
2950,REPLACE,gipict06_,4,****,4,****,****
2951,REPLACE,gipict07_,4,****,4,****,****
2952,REPLACE,gipict08_,4,****,4,****,****
2953,REPLACE,gipict09_,4,****,4,****,****
2954,REPLACE,gipict10_,4,****,4,****,****
2955,REPLACE,gipict11_,4,****,4,****,****
2956,REPLACE,pp_a_,4,****,1,****,****
2957,REPLACE,pp_b_,4,****,1,****,****
2958,REPLACE,pp_c_,4,****,1,****,****
2959,REPLACE,pp_d_,4,****,1,****,****
2960,REPLACE,pp_e_,4,****,1,****,****
2961,REPLACE,pp_f_,4,****,1,****,****
2962,REPLACE,pp_g_,4,****,1,****,****
2963,REPLACE,pp_h_,4,****,1,****,****
2964,REPLACE,pp_i_,4,****,1,****,****
2965,REPLACE,pp_j_,4,****,1,****,****
2966,REPLACE,pp_k_,4,****,1,****,****
2967,REPLACE,pp_l_,4,****,1,****,****
2968,REPLACE,pp_m_,4,****,1,****,****
2969,REPLACE,pp_n_,4,****,1,****,****
2970,REPLACE,pp_o_,4,****,1,****,****
2971,REPLACE,pp_p_,4,****,1,****,****
2972,REPLACE,pp_q_,4,****,1,****,****
2973,REPLACE,pp_r_,4,****,1,****,****
2974,REPLACE,pp_s_,4,****,1,****,****
2975,REPLACE,pp_t_,4,****,1,****,****
2976,REPLACE,pp_u_,4,****,1,****,****
2977,REPLACE,pp_v_,4,****,1,****,****
2978,REPLACE,pp_w_,4,****,1,****,****
2979,REPLACE,pp_x_,4,****,1,****,****
2980,REPLACE,pp_y_,4,****,1,****,****
2981,REPLACE,pp_z_,4,****,1,****,****
2982,REPLACE,sgate_,4,****,3,****,****
2983,REPLACE,stocksld_,4,****,3,****,****
2984,REPLACE,rackld_,4,****,3,****,****
2985,REPLACE,uwsh_01_,4,****,5,****,****
2986,REPLACE,uwsh_02_,4,****,5,****,****
2987,REPLACE,uwsh_03_,4,****,5,****,****
2988,REPLACE,uwsh_04_,4,****,5,****,****
2989,REPLACE,uwsh_05_,4,****,5,****,****
2990,REPLACE,uwsh_06_,4,****,5,****,****
2991,REPLACE,uwsh_07_,4,****,5,****,****
2992,REPLACE,uwsh_08_,4,****,5,****,****
2993,REPLACE,uwsh_09_,4,****,5,****,****
2994,REPLACE,uwsh_10_,4,****,5,****,****
2995,REPLACE,uwsh_11_,4,****,5,****,****
2996,REPLACE,uwsh_12_,4,****,5,****,****
2997,REPLACE,rainbow_,4,****,8,****,****
2998,REPLACE,letter_a1_,4,****,6,****,****
2999,REPLACE,letter_a2_,4,****,6,****,****
3000,REPLACE,letter_b1_,4,****,6,****,****
3001,REPLACE,letter_b2_,4,****,6,****,****
3002,REPLACE,letter_c1_,4,****,6,****,****
3003,REPLACE,letter_c2_,4,****,6,****,****
3004,REPLACE,letter_d1_,4,****,6,****,****
3005,REPLACE,letter_d2_,4,****,6,****,****
3006,REPLACE,letter_e1_,4,****,6,****,****
3007,REPLACE,letter_e2_,4,****,6,****,****
3008,REPLACE,letter_f1_,4,****,6,****,****
3009,REPLACE,letter_f2_,4,****,6,****,****
3010,REPLACE,letter_g1_,4,****,6,****,****
3011,REPLACE,letter_g2_,4,****,6,****,****
3012,REPLACE,letter_h1_,4,****,6,****,****
3013,REPLACE,letter_h2_,4,****,6,****,****
3014,REPLACE,letter_i1_,4,****,6,****,****
3015,REPLACE,letter_i2_,4,****,6,****,****
3016,REPLACE,letter_j1_,4,****,6,****,****
3017,REPLACE,letter_j2_,4,****,6,****,****
3018,REPLACE,letter_k1_,4,****,6,****,****
3019,REPLACE,letter_k2_,4,****,6,****,****
3020,REPLACE,letter_l1_,4,****,6,****,****
3021,REPLACE,letter_l2_,4,****,6,****,****
3022,REPLACE,letter_m1_,4,****,6,****,****
3023,REPLACE,letter_m2_,4,****,6,****,****
3024,REPLACE,letter_n1_,4,****,6,****,****
3025,REPLACE,letter_n2_,4,****,6,****,****
3026,REPLACE,letter_o1_,4,****,6,****,****
3027,REPLACE,letter_o2_,4,****,6,****,****
3028,REPLACE,letter_p1_,4,****,6,****,****
3029,REPLACE,letter_p2_,4,****,6,****,****
3030,REPLACE,letter_q1_,4,****,6,****,****
3031,REPLACE,letter_q2_,4,****,6,****,****
3032,REPLACE,letter_r1_,4,****,6,****,****
3033,REPLACE,letter_r2_,4,****,6,****,****
3034,REPLACE,letter_s1_,4,****,6,****,****
3035,REPLACE,letter_s2_,4,****,6,****,****
3036,REPLACE,letter_t1_,4,****,6,****,****
3037,REPLACE,letter_t2_,4,****,6,****,****
3038,REPLACE,letter_u1_,4,****,6,****,****
3039,REPLACE,letter_u2_,4,****,6,****,****
3040,REPLACE,letter_v1_,4,****,6,****,****
3041,REPLACE,letter_v2_,4,****,6,****,****
3042,REPLACE,letter_w1_,4,****,6,****,****
3043,REPLACE,letter_w2_,4,****,6,****,****
3044,REPLACE,letter_x1_,4,****,6,****,****
3045,REPLACE,letter_x2_,4,****,6,****,****
3046,REPLACE,letter_y1_,4,****,6,****,****
3047,REPLACE,letter_y2_,4,****,6,****,****
3048,REPLACE,letter_z1_,4,****,6,****,****
3049,REPLACE,letter_z2_,4,****,6,****,****
3050,REPLACE,letter_0_,4,****,6,****,****
3051,REPLACE,letter_1_,4,****,6,****,****
3052,REPLACE,letter_2_,4,****,6,****,****
