PATCH_IDX,PATCH_CMD,Name,label,InvSlotWidth,InvSlotHeight,EquipableSlots,CanRotateIcon,ModelType,ItemClass,GenderSpecific,Part1EnvMap,Part2EnvMap,Part3EnvMap,DefaultModel,DefaultIcon,Container,WeaponWield,WeaponType,WeaponSize,RangedWeapon,PrefAttackDist,MinRange,MaxRange,NumDice,DieToRoll,CritThreat,CritHitMult,Category,BaseCost,Stacking,ItemMultiplier,Description,InvSoundType,MaxProps,MinProps,PropColumn,StorePanel,ReqFeat0,ReqFeat1,ReqFeat2,ReqFeat3,ReqFeat4,AC_Enchant,BaseAC,ArmorCheckPen,BaseItemStatRef,ChargesStarting,RotateOnGround,TenthLBS,WeaponMatType,AmmunitionType,QBBehaviour,ArcaneSpellFailure,%AnimSlashL,%AnimSlashR,%AnimSlashS,StorePanelSort,ILRStackSize,WeaponFocusFeat,EpicWeaponFocusFeat,WeaponSpecializationFeat,EpicWeaponSpecializationFeat,WeaponImprovedCriticalFeat,EpicWeaponOverwhelmingCriticalFeat,EpicWeaponDevastatingCriticalFeat,WeaponOfChoiceFeat
80,REPLACE,2220,cloak,2,3,0x00040,0,1,cloak,1,1,****,****,it_bag,icloak_m_001,0,****,0,****,****,****,0,255,****,****,****,****,4,1,1,1,5023,3,8,0,16,0,****,****,****,****,****,4,0,0,5475,0,0,30,****,****,****,****,****,****,****,15,1,****,****,****,****,****,****,****,****
81,REPLACE,2730,grenade,1,1,0x00000,0,0,it_x1_gren,0,1,1,1,it_bag,iit_x1_gren_003,0,1,0,****,****,****,0,255,****,****,****,****,16,0,10,1,2731,28,8,0,15,4,****,****,****,****,****,****,0,0,5448,0,0,3,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
82,REPLACE,7666,Encampment,10,6,0x00000,0,0,it_encamp,0,1,1,1,it_bag,iit_encamp_001,0,1,0,****,****,****,0,255,****,****,****,****,16,0,1,1,7666,29,8,0,15,4,****,****,****,****,****,****,0,0,5449,0,0,500,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
92,REPLACE,111697,Lance,1,4,0x1C030,1,2,WPlLc,0,1,1,1,it_bag,iwpllc,0,4,1,2,****,1.4,10,255,1,0,1,3,1,1,1,2,111699,15,8,0,0,1,****,****,****,****,****,4,0,0,111703,0,1,30,17,****,****,****,0,0,100,76,1,****,****,****,****,****,****,****,****
93,REPLACE,111698,Trumpet,1,3,0x1C030,1,0,it_horn,0,1,1,1,it_bag,iit_horn_001,0,****,2,3,****,1.1,0,255,1,2,1,1,20,1,1,1,111700,17,8,0,20,4,****,****,****,****,****,****,0,0,111704,0,1,5,17,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
94,REPLACE,111701,MoonOnAStick,1,2,0x1C030,1,0,it_moon,0,****,****,****,it_moon,iit_moon_001,0,****,2,2,****,****,0,255,****,****,****,****,13,1,1,0.02,111702,2,8,0,16,4,****,****,****,****,****,****,0,0,****,0,1,1,****,****,****,****,****,****,****,0,1,****,****,****,****,****,****,****,****
95,REPLACE,67251,trident,1,4,0x1C030,1,2,WPlTr,0,1,1,1,it_bag,iwpltr,0,****,1,4,****,1.4,10,255,1,8,1,2,1,1,1,2,110846,15,8,0,0,1,45,****,****,****,****,4,0,0,110899,0,1,50,17,****,****,****,5,5,90,76,1,1072,1076,1073,1077,1074,1078,1075,1079
101,REPLACE,76389,empty_potion,1,2,0x00000,0,2,it_potion,0,****,****,****,it_potion_000,iit_potion,0,1,0,****,****,****,10,255,****,****,****,****,9,1,1,0.2,86786,24,1,0,8,2,****,****,****,****,****,****,0,0,5455,0,2,1,****,****,2,****,****,****,****,0,1,****,****,****,****,****,****,****,****
102,REPLACE,76390,blank_scroll,1,1,0x00000,0,0,it_scroll,0,****,****,****,gi_scrl,iit_scroll_002,0,1,0,****,****,****,0,255,****,****,****,****,10,1,1,0.36,86787,27,1,0,9,2,****,****,****,****,****,****,0,0,5470,0,0,1,****,****,2,****,****,****,****,1,1,****,****,****,****,****,****,****,****
103,REPLACE,76391,blank_magicwand,1,2,0x00000,1,2,WMGWn,0,1,1,1,it_bag,iwmgwn,0,****,****,****,****,****,10,255,****,****,****,****,8,1,1,1,86788,16,1,0,1,3,****,****,****,****,****,****,0,0,66196,50,1,10,****,****,1,****,****,****,****,10,1,****,****,****,****,****,****,****,****
104,REPLACE,83365,crafted_potion,1,2,0x00000,0,2,it_potion,0,****,****,****,it_potion_000,iit_potion,0,1,0,****,****,****,10,255,****,****,****,****,9,1,10,0.2,1719,24,1,0,8,2,****,****,****,****,****,****,0,0,5455,0,2,1,****,****,2,****,****,****,****,0,1,****,****,****,****,****,****,****,****
105,REPLACE,83364,crafted_scroll,1,1,0x00000,0,0,it_scroll,0,****,****,****,gi_scrl,iit_scroll_002,0,1,0,****,****,****,0,255,****,****,****,****,10,1,10,0.36,1718,27,1,0,9,2,****,****,****,****,****,****,0,0,5470,0,0,1,****,****,2,****,****,****,****,1,1,****,****,****,****,****,****,****,****
106,REPLACE,83363,crafted_magicwand,1,2,0x00000,1,2,WMGWn,0,1,1,1,it_bag,iwmgwn,0,****,****,****,****,****,10,255,****,****,****,****,8,1,1,1,1707,16,1,0,1,3,****,****,****,****,****,****,0,0,66196,50,1,10,****,****,1,****,****,****,****,10,1,****,****,****,****,****,****,****,****
108,REPLACE,83310,dwarvenwaraxe,2,3,0x1C030,1,2,WAxBt,0,1,1,1,it_bag,iwaxbt,0,****,3,3,****,1.2,10,255,1,10,1,3,1,30,1,2,83311,9,8,0,0,1,44,****,****,****,****,4,0,0,83312,0,1,150,16,****,****,****,100,100,0,41,1,952,956,953,957,954,958,955,959
109,REPLACE,83379,craftcompbase,2,2,0x00000,0,0,it_midmisc,0,1,1,1,it_bag,iinvalid_2x2,0,1,0,****,****,****,0,255,****,****,****,****,16,0,1,1,83632,29,8,0,15,4,****,****,****,****,****,****,0,0,5449,0,0,5,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
110,REPLACE,83380,craftcompsmall,1,1,0x00000,0,0,it_smlmisc,0,1,1,1,it_bag,iinvalid_1x1,0,1,0,****,****,****,0,255,****,****,****,****,16,0,1,1,83699,28,8,0,15,4,****,****,****,****,****,****,0,0,5448,0,0,3,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
111,REPLACE,83617,Whip,2,2,0x1C010,0,2,WWhip,0,1,1,1,it_bag,iwwhip,0,****,3,2,****,1.7,10,255,1,2,1,2,1,1,1,2,85392,32,8,0,0,1,44,****,****,****,****,4,0,0,85391,0,1,20,19,****,****,****,100,100,0,74,1,993,997,994,998,995,999,996,1000
112,REPLACE,83664,craftbase,2,2,0x00000,0,0,it_midmisc,0,1,1,1,it_bag,iinvalid_2x2,0,1,0,****,****,****,0,255,****,****,****,****,16,0,1,1,83698,29,8,0,15,4,****,****,****,****,****,****,0,0,5449,0,0,5,****,****,1,****,****,****,****,0,1,****,****,****,****,****,****,****,****
113,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
114,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
115,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
116,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
117,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
118,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
119,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
120,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
121,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
122,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
123,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
124,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
125,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
126,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
127,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
128,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
129,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
130,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
131,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
132,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
133,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
134,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
135,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
136,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
137,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
138,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
139,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
140,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
141,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
142,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
143,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
144,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
145,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
146,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
147,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
148,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
149,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
150,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
151,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
152,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
153,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
154,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
155,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
156,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
157,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
158,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
159,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
160,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
161,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
162,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
163,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
164,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
165,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
166,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
167,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
168,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
169,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
170,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
171,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
172,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
173,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
174,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
175,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
176,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
177,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
178,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
179,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
180,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
181,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
182,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
183,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
184,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
185,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
186,ADD,****,bio_reserved,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****,****
